"Região Administrativa";"CÓDIGO";"ESTABELECIMENTO";"ENDEREÇO";"Nº";"BAIRRO";"CEP";"FONE"
"SUL";24077720;"CMEI CLAUDETE COSTA MACIEL";"RUA SERRA DOS CARAJAS";3160;"PITIMBU";59068200;32328403
"SUL";24077739;"CMEI HAYDEE MONTEIRO BEZERRA DE MELO";"RUA JOSÉ SELEDON";70;"PONTA NEGRA";59090215;32328413
"SUL";24056936;"CMEI KÁTIA FAGUNDES GARCIA";"RUA PROFESSORA ANA DJANIRA";1960;"CANDELÁRIA";59064480;87291989
"SUL";24077267;"CMEI MARIA CELONI CAMPOS";"RUA BAIA FORMOSÁ";1517;"LAGOA NOVA II";59063060;32329443
"SUL";24077500;"CMEI MOEMA TINOCO DA CUNHA LIMA";"RUA JACUI";217;"NEÓPOLIS";59080270;32328376
"SUL";24084298;"CMEI PROFA ANTÔNIA FERNANDA JALLES";"RUA RIO SUASSUI";7701;"PITIMBU";59068320;
"SUL";24081221;"CMEI PROFA CARMEM MARIA REIS";"RUA JOÃO DE DEUS DE LIMA";"SN";"PONTA NEGRA";59090318;32324812
"SUL";24064440;"CMEI PROFA LIBÂNIA MEDEIROS";"AV. SÃO MIGUEL DOS CARIBES";4334;"NEÓPOLIS";59086500;88145388
"SUL";24085332;"CMEI PROFA Mª DOS MARTIRIOS LISBOA DE MENEZES";"RUA ENGENHEIRO JOAQUIM CARDOSO";2020;"PITIMBU";59069010;88877803
"SUL";24064785;"CMEI PROFA MARIA EUNICE DAVIM";"RUA SOBRALIA";"S/N";"NEÓPOLIS";59088680;87063068
"SUL";24077747;"CMEI PROFA MARIA LUIZA SANTOS DE SOUZA";"JANDAIA";8075;"PITIMBU";59067290;32328404
"SUL";24077682;"CMEI VILMA TEIXEIRA DOURADO DUTRA";"RUA DOS AMARANTOS";156;"LAGOA NOVA";59078110;32326414
"LESTE";24077712;"CMEI AMOR DE MÃE";"RUA FELICIANO DIAS";239;"PRAIA DO MEIO";59010070;32328616
"LESTE";24077496;"CMEI CLARA CAMARÃO";"RUA JAGUARARI";1122;"BARRO VERMELHO";59030500;32329433
"LESTE";24077534;"CMEI PROFA CLAUDIA OLIVEIRA DE FARIAS";"RUA ESPLANADA SILVA JARDIM";169;"RIBEIRA";59012090;88018877
"LESTE";24077330;"CMEI PROFA DARILENE BRANDÃO MARTINS";"RUA AGOSTINHO LEITÃO";322;"ALECRIM";59040090;32329497
"LESTE";24077887;"CMEI GALDINA BARBOSÁ SILVEIRA GUIMARÃES";"RUA JOÃO XXIII";1565;"MÃE LUÍZA";59014220;32328618
"LESTE";24077585;"CMEI JOSÉ ALVES SOBRINHO";"RUA JÚLIO GOMES MOREIRA";876;"BARRO VERMELHO";59022110;32329480
"LESTE";24077607;"CMEI MARIA EULALIA GOMES DA SILVA";"RUA NOSSA SENHORA APARECIDA";40;"CIDADE ALTA";59040085;32324792
"LESTE";24082937;"CMEI NOSSA SENHORA DE LOURDES";"RUA JOÃO XXIII";1215;"MÃE LUIZA";59014000;87687092
"LESTE";24056952;"CMEI PADRE JOÃO PERESTRELLO";"RUA JOÃO XXIII";729;"MÃE LUIZA";59014000;
"LESTE";24077470;"CMEI PROFA VILMA MARIA DE FARIA";"RUA MARCOS CAVALCANTE";585;"TIROL";59015300;32329482
"OESTE";24077925;"CMEI BOM SÁMARITANO";"RUA PASTOR JOSINO GALVAO";102;"QUINTAS";59035050;32329500
"OESTE";24091804;"CMEI CARMEM FERNANDES PEDROZA";"RUA JERUSÁLEM";115;"FELIPE CAMARÃO";59074320;32056813
"OESTE";24077569;"CMEI CLEA BEZERRA DE MELO";"AV NSRA DO LIVRAMENTO";31;"GUARAPES";59074745;32324347
"OESTE";24074470;"CMEI DRA ZILDA ARNS";"AV. INDUSTRIAL JOÃO FRANCISCO DA MOTTA";45;"FELIPE CAMARÃO";59072200;36059161
"OESTE";24077666;"CMEI FREI DAMIÃO";"RUA PEDRINHO BEZERRA";1185;"BOM PASTOR";59060480;32329493
"OESTE";24077690;"CMEI IRMA DULCE";"AV PERNAMBUCO";"SN";"FELIPE CAMARÃO";59072250;32329440
"OESTE";24077410;"CMEI JESIEL FIGUEIREDO";"RUA HERMITA CANSÁCAO";"SN";"CIDADE DA ESPERANÇA";59070300;32329441
"OESTE";24059498;"CMEI JESUS BOM PASTOR";"SOLANGE NUNES DO NASCIMENTO";56;"N. SRA DE NAZARÉ";59062170;32329447
"OESTE";24082929;"CMEI JOSÉ ALENCAR GOMES DA SILVA";"RUA DOS PAIANAZES";455;"CIDADE NOVA";59072500;32059436
"OESTE";24056901;"CMEI MISSIONARIO ODILON DOS SANTOS";"RUA SÃO NICOLAU";1977;"QUINTAS";59037350;88472494
"OESTE";24064971;"CMEI NOSSA SENHORA DE FÁTIMA";"RUA IJUI";375;"FELIPE CAMARÃO";59072230;32050155
"OESTE";24056944;"CMEI NOSSA SENHORA AUXILIADORA";"RUA ALFREDO EDELTRUDES";30;"CIDADE DA ESPERANÇA";59071480;32329450
"OESTE";24059960;"CMEI NOSSA SENHORA DE SANTANA";"ANA PAULA BARBOSÁ";2300;"NORDESTE";59042110;32329495
"OESTE";24081892;"CMEI PROF ARNALDO ARSENIO DE AZEVEDO";"TRAVESSÁ TREZE DE MAIO";"SN";"GUARAPES";59074846;32325640
"OESTE";24077461;"CMEI PROFA ELAINE DO NASCIMENTO LOPES";"AVENIDA DOS CAICOS";16;"DIX SEPT ROSÁDO";59054115;94187135
"OESTE";24077810;"CMEI PROFA FRANCISCA ANASTACIA DE SOUTO";"DOS PAIATIS";2002;"DIX SEPT ROSÁDO";59062700;
"OESTE";24077577;"CMEI PROFA MARIA DO SOCORRO LIMA";"RUA CLAUDIONOR FIGUEIREDO";1797;"QUINTAS";59035150;88866855
"OESTE";24077291;"CMEI PROFA MARIA ILKA SOARES DA SILVA";"AVENIDA SOLANGE NUNES DO NASCIMENTO";297;"NOVA DESCOBERTA";59075260;32329444
"OESTE";24077526;"CMEI PROFA MARIA ITACIRA BENTO";"RUA ABREULANDIA";238;"CIDADE NOVA";59072500;32329451
"OESTE";24074209;"CMEI PROFA MARIA SÁLETE ALVES BILA";"RUA DA LAGOA SECA";"SN";"PLANALTO";59073090;32324760
"OESTE";24075701;"CMEI PROFA MARILANDA BEZERRA DE PAIVA";"AV SOLANGE NUNES DO NASCIMENTO";316;"GUARAPES";59074750;32324769
"OESTE";24080055;"CMEI PROFA MARISE PAIVA";"AV LIMA E SILVA";259;"CIDADE NOVA";59072500;32324779
"OESTE";24077755;"CMEI PROFA RAQUEL MARIA FILGUEIRA";"DANTAS BARRETO";1002;"N. SRA DE NAZARÉ";59062300;32329442
"OESTE";24077780;"CMEI SÁTURNINA ALVES DE LUCENA";;625;"CIDADE NOVA";59072590;32329445
"NORTE";24085324;"CMEI BELCHIOR JORGE DE SÁ";"SÃO FRANCISCO";;"N. SRA DA APRESENTAÇÃO";59114155;88172810
"NORTE";24077801;"CMEI DR VULPIANO CAVALCANTI DE ARAÚJO";"RUA SEBASTIÃO GONCALVES";77;"IGAPÓ";59106080;32329473
"NORTE";24077771;"CMEI EVANGELINA ELITA DE SOUSA";"RUA DAS CRENDICES";1001;"LAGOA AZUL";59135070;32329461
"NORTE";24086037;"CMEI MAILDE FERREIRA PINTO GALVÃO";"JOENVILLE";58;"POTENGI";59110270;
