"Região Administrativa";"CÓDIGO";"ESTABELECIMENTO";"ENDEREÇO";"Nº";"BAIRRO";"CEP";"FONE"
"SUL";24058890;"ESC MUL PROF ANTÔNIO SEVERIANO";"AV OURO PRETO";2754;"NEÓPOLIS";59088690;32324762
"SUL";24058912;"ESC MUL PROF ARNALDO MONTEIRO BEZERRA";"ARACITABA";2993;"NEÓPOLIS";59084080;32324763
"SUL";24060690;"ESC MUL PROF ASCENDINO DE ALMEIDA";"RUA JOAQUIM CARDOSO";;"PITIMBU";59069010;32324767
"SUL";24058793;"ESC MUL PROF CARLOS BELLO MORENO";"RUA ARAPIRACA";"SN";"NEÓPOLIS";59086210;32324761
"SUL";24075710;"ESC MUL PROF OTTO DE BRITO GUERRA";"RUA SERRA DA JUREMA";"SN";"PITIMBU";59068150;32328373
"SUL";24064009;"ESC MUL PROFA JOSEFA BOTELHO";"RUA MANOEL CONGO";318;"PONTA NEGRA";59090300;32324811
"SUL";24059013;"ESC MUL SÃO JOSÉ";"RUA VEREADOR MANOEL CORINGA DE LEMOS,";434;"PONTA NEGRA";59090190;32324810
"SUL";24058971;"ESC MUL PROF ULISSES DE GOIS";"PADRE RAIMUNDO BRASIL";"SN";"NOVA DESCOBERTA";59075100;32324770
"LESTE";24071633;"ESC MUL 4º CENTENÁRIO";"AV.FLORIANO PEIXOTO";295;"PETRÓPOLIS";59012500;32151130
"LESTE";24058858;"ESC MUL HENRIQUE CASTRICIANO";"RUA DECIO FONSECA";633;"SANTOS REIS";59010370;32324791
"LESTE";24058866;"ESC MUL JOÃO XXIII";"RUA DOS PAJEUS";1875;"ALECRIM";59031800;32324854
"LESTE";24058874;"ESC MUL JUVENAL LAMARTINE";"RUA PRESIDENTE SÁRMENTO";1156;"ALECRIM";59032400;32324852
"LESTE";24057452;"ESC MUL MONSENHOR JOAQUIM HONÓRIO";"RUA PTE MASCARENHAS";768;"ALECRIM";59035540;32324851
"LESTE";24058785;"ESC MUL PROF ANTÔNIO CAMPOS E SILVA";"RUA JOÃO XXIII";1821;"MÃE LUIZA";59014000;32324800
"LESTE";24058998;"ESC MUL PROFA LAURA MAIA";"RUA DO MOTOR";707;"PRAIA DO MEIO";59010090;32324801
"LESTE";24065617;"ESC MUL PROFA MARECI GOMES DOS SANTOS";"TRAVESSÁ OCIDENTAL DE BAIXO";333;"CIDADE ALTA";59040080;32032009
"LESTE";24069680;"ESC MUL SANTOS REIS";"RUA DECIO FONSECA";"S/N";"SANTOS REIS";59010370;32324802
"OESTE";24058807;"ESC MUL CELESTINO PIMENTEL";"PERNAMBUCO";145;"CIDADE DA ESPERANÇA";59070300;33011379
"OESTE";24058815;"ESC MUL CHICO SÁNTEIRO";"RUA DA CRUZ";"SN";"NORDESTE";59042150;32324855
