"Estabelecimento";"Ens. Fundamental";"Ens. Médio Magistério";"Ens. Médio";"Ens. Superio";"Especialização";"Mestrado";"Doutorado";"Nenhum"
"ESC MUL 4º CENTENÁRIO";0;0;0;28;12;2;0;14
"ESC MUL CELESTINO PIMENTEL";0;0;0;34;24;1;0;10
"ESC MUL CHICO SANTEIRO";0;0;0;16;6;0;0;10
"ESC MUL DJALMA MARANHÃO";0;0;0;24;12;2;0;12
"ESC MUL ESTUDANTE EMMANUEL BEZERRA";0;0;0;45;32;2;0;13
"ESC MUL FERREIRA ITAJUBÁ ENS DE 1º GRAU";0;0;0;36;15;1;0;20
"ESC MUL HENRIQUE CASTRICIANO";0;0;0;12;3;0;0;9
"ESC MUL IRMÃ ARCÂNGELA ENSINO DE 1º GRAU";0;0;0;48;21;3;0;24
"ESC MUL JOÃO PAULO II";0;0;0;35;18;1;0;17
"ESC MUL JOÃO XXIII";0;0;0;20;10;1;0;9
"ESC MUL JORNALISTA ERIVAN FRANÇA";0;0;0;28;13;1;0;15
"ESC MUL JUVENAL LAMARTINE";0;0;0;33;12;4;1;17
"ESC MUL MONSENHOR JOAQUIM HONÓRIO";0;0;0;20;12;0;0;8
"ESC MUL MONSENHOR JOSÉ ALVES LANDIM";0;0;0;36;12;0;0;24
"ESC MUL NOSSA SRA DA APRESENTAÇÃO";0;0;0;26;14;0;0;12
"ESC MUL NOSSA SRA DAS DORES";0;0;0;8;4;0;0;4
"ESC MUL NOSSA SRA DOS NAVEGANTES";0;0;0;17;7;0;0;10
"ESC MUL PREF MÁRIO LIRA";0;0;0;29;19;0;0;10
"ESC MUL PROF AMADEU ARAÚJO";0;0;0;38;17;5;0;17
"ESC MUL PROF ANTÔNIO CAMPOS E SILVA";0;0;0;16;4;1;0;11
"ESC MUL PROF ANTÔNIO SEVERIANO";0;0;0;25;13;1;0;12
"ESC MUL PROF ARNALDO MONTEIRO BEZERRA";0;0;0;20;9;0;0;11
"ESC MUL PROF ASCENDINO DE ALMEIDA";0;0;0;45;22;0;0;23
"ESC MUL PROF BERILO WANDERLEY";0;0;0;18;5;0;0;13
"ESC MUL PROF BERNARDO DO NASCIMENTO";0;0;0;19;5;0;1;13
"ESC MUL PROF CARLOS BELLO MORENO";0;0;0;14;6;1;0;7
"ESC MUL PROF EUDO JOSÉ ALVES";0;0;0;14;7;0;0;7
"ESC MUL PROF FCO DE ASSIS VARELA CAVALCANTI";0;0;0;28;18;1;0;9
"ESC MUL PROF HERLY PARENTE";0;0;0;29;10;0;0;19
"ESC MUL PROF JOSÉ DE ANDRADE FRAZÃO";0;0;0;29;13;0;0;16
"ESC MUL PROF JOSÉ DO PRATOCÍNIO PEREIRA PINTO";0;0;0;24;13;3;0;8
"ESC MUL PROF JOSÉ MELQUIADES DE MACEDO";0;0;0;37;20;1;0;17
"ESC MUL PROF LAERCIO FERNANDES MONTEIRO";0;0;0;35;18;0;0;17
"ESC MUL PROF LUÍS MARANHÃO FILHO";0;0;0;42;21;3;0;18
"ESC MUL PROF OTTO DE BRITO GUERRA";0;0;0;29;14;1;0;14
"ESC MUL PROF REGINALDO FERREIRA NETO";0;0;0;36;12;0;0;24
"ESC MUL PROF ULISSES DE GOIS";0;0;0;31;23;2;1;7
"ESC MUL PROF VERÍSSIMO DE MELO";0;0;0;45;25;6;0;18
"ESC MUL PROF WALDSON JOSÉ BASTOS PINHEIRO";0;0;0;31;11;0;0;20
"ESC MUL PROF ZUZA";0;0;0;25;9;1;0;15
"ESC MUL PROFA ADELINA FERNANDES";0;0;0;45;22;0;0;23
"ESC MUL PROFA ALMERINDA BEZERRA FURTADO";0;0;0;43;18;1;0;24
"ESC MUL PROFA ANGÉLICA DE ALMEIDA MOURA";0;0;0;15;9;2;0;5
"ESC MUL PROFA DALVA DE OLIVEIRA";0;0;0;32;13;1;0;18
"ESC MUL PROFA EMÍLIA RAMOS";0;0;0;33;10;2;0;22
"ESC MUL PROFA FRANCISCA DE OLIVEIRA";0;0;0;38;21;1;0;16
"ESC MUL PROFA FRANCISCA FERREIRA DA SILVA";0;0;0;41;17;2;0;22
"ESC MUL PROFA IAPISSARA AGUIAR";0;0;0;36;15;2;0;19
"ESC MUL PROFA IVONETE MACIEL";0;0;0;27;11;0;0;16
"ESC MUL PROFA JOSEANE COUTINHO DIAS";0;0;0;21;10;2;0;10
"ESC MUL PROFA JOSEFA BOTELHO";0;0;0;27;13;1;0;13
"ESC MUL PROFA LAURA MAIA";0;0;0;9;5;0;0;4
"ESC MUL PROFA LOURDES GODEIRO";0;0;0;9;2;0;0;7
"ESC MUL PROFA MALVINA COSME";0;0;0;26;16;1;0;10
"ESC MUL PROFA MARECI GOMES DOS SANTOS";0;0;0;22;4;0;0;18
"ESC MUL PROFA MARIA ALEXANDRINA SAMPAIO";0;0;0;29;6;1;0;22
"ESC MUL PROFA MARIA CRISTINA OZÓRIO TAVARES";0;0;0;38;18;1;0;20
"ESC MUL PROFA MARIA DALVA GOMES BEZERRA";0;0;0;24;8;0;0;16
"ESC MUL PROFA MARIA MADALENA XAVIER DE ANDRADE";0;0;0;41;20;1;0;20
"ESC MUL PROFA NOILDE PESSOA RAMALHO";0;0;0;23;3;0;0;20
"ESC MUL PROFA PALMIRA DE SOUZA";0;0;0;26;5;0;0;21
"ESC MUL PROFA TÂNIA ALMEIDA";0;0;0;16;4;0;0;12
"ESC MUL PROFA TEREZA SÁTSUQUI";0;0;0;13;6;1;0;7
"ESC MUL PROFA TEREZINHA PAULINO DE LIMA";0;0;0;39;10;0;0;29
"ESC MUL PROFA VERA LÚCIA SOARES BARROS";0;0;0;33;10;1;0;22
"ESC MUL PROFA ZENEIDE IGINO DE MOURA";0;0;0;20;8;0;0;12
"ESC MUL PROFA ZULEIDE FERNANDES DE M SILVA";0;0;0;20;5;0;0;15
"ESC MUL SANTA CATARINA";0;0;0;19;7;0;0;12
"ESC MUL SANTOS REIS";0;0;0;31;17;1;1;13
"ESC MUL SÃO FRANCISCO DE ASSIS";0;0;0;31;16;0;0;15
"ESC MUL SÃO JOSÉ";0;0;0;8;4;0;0;4
"ESC MUL VEREADOR JOSÉ SOTERO";0;0;0;32;11;2;0;19
