"Estabelecimento";"Ens. Fundamental";"Ens. Médio Magistério";"Ens. Médio";"Ens. Superio";"Especialização";"Mestrado";"Doutorado";"Nenhum"
"CMEI AMOR DE MÃE";0;0;0;27;1;0;0;26
"CMEI BELCHIOR JORGE DE SÁ";0;0;0;13;1;0;0;12
"CMEI BOM SAMARITANO";0;0;0;6;1;0;0;5
"CMEI CARMEM FERNANDES PEDROZA";0;0;0;14;5;0;0;9
"CMEI CLARA CAMARÃO";0;0;0;11;1;0;0;10
"CMEI CLAUDETE COSTA MACIEL";0;0;0;33;5;0;0;28
"CMEI CLEA BEZERRA DE MELO";0;0;0;9;2;0;0;7
"CMEI DR VULPIANO CAVALCANTI DE ARAÚJO";0;0;0;12;2;0;0;10
"CMEI DRA ZILDA ARNS";0;0;0;13;1;0;0;12
"CMEI EVANGELINA ELITA DE SOUSA";0;0;0;4;3;0;0;1
"CMEI FREI DAMIÃO";0;0;0;11;3;0;0;8
"CMEI GALDINA BARBOSA SILVEIRA GUIMARÃES";0;0;0;5;1;0;0;4
"CMEI HAYDEE MONTEIRO BEZERRA DE MELO";0;0;0;10;0;0;0;10
"CMEI IRMÃ DULCE";0;0;0;10;3;0;0;7
"CMEI JESIEL FIGUEIREDO";0;0;0;6;1;0;0;5
"CMEI JESUS BOM PASTOR";0;0;0;8;1;0;0;7
"CMEI JOSÉ ALENCAR GOMES DA SILVA";0;0;0;5;1;0;0;4
"CMEI JOSÉ ALVES SOBRINHO";0;0;0;7;1;0;0;6
"CMEI KÁTIA FAGUNDES GARCIA";0;0;0;8;3;0;0;5
"CMEI MAILDE FERREIRA PINTO GALVAO";0;0;0;9;0;0;0;9
"CMEI MARIA CELONI CAMPOS";0;0;0;3;0;0;0;3
"CMEI MARIA EULALIA GOMES DA SILVA";0;0;0;21;6;0;0;15
"CMEI MARIA LUCILA ALVES DE CARVALHO";0;0;0;7;0;0;0;7
"CMEI MISSIONARIO ODILON DOS SANTOS";0;0;0;6;2;0;0;4
"CMEI MOEMA TINOCO DA CUNHA LIMA";0;0;0;6;2;0;0;4
"CMEI NOSSA SENHORA AUXILIADORA";0;0;0;19;1;0;0;18
"CMEI NOSSA SENHORA DE FÁTIMA";0;0;0;6;4;0;0;2
"CMEI NOSSA SENHORA DE LOURDES";0;0;0;23;3;0;0;20
"CMEI NOSSA SENHORA DE SANTANA";0;0;0;9;2;0;0;7
"CMEI PADRE JOÃO PERESTRELLO";0;0;0;14;2;0;0;12
